Data from HR4C25001_14-15-18-821.txt Node
Date: Mon Jun 15 14:15:18 CDT 2026
User: jam28248
Spectrometer: HR4C2500
Trigger mode: 4
Integration Time (sec): 7.500000E-2
Scans to average: 20
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
629.66646	-25.67
629.6848	-25.67
629.70313	-25.67
629.72147	-48.37
629.7398	-32.97
629.75812	0.53
629.77645	0.93
629.79477	6.58
629.81309	0.08
629.83141	-6.42
629.84972	7.28
629.86803	5.23
629.88634	9.18
629.90465	-12.12
629.92295	-9.07
629.94126	-6.92
629.95956	1.58
629.97785	3.08
629.99615	-0.67
630.01444	16.13
630.03273	11.78
630.05102	13.78
630.0693	3.73
630.08759	14.03
630.10587	1.73
630.12415	1.63
630.14242	7.23
630.16069	-8.67
630.17896	-4.87
630.19723	5.13
630.2155	21.93
630.23376	66.63
630.25202	20.83
630.27028	16.48
630.28854	11.53
630.30679	4.78
630.32504	-1.02
630.34329	7.33
630.36153	11.58
630.37978	22.63
630.39802	10.78
630.41626	2.28
630.43449	-3.32
630.45273	0.23
630.47096	5.38
630.48919	6.28
630.50741	10.48
630.52564	3.38
630.54386	11.88
630.56208	21.78
630.58029	6.93
630.59851	6.78
630.61672	5.08
630.63493	13.48
630.65313	10.08
630.67134	8.73
630.68954	4.58
630.70774	11.28
630.72594	12.98
630.74413	2.08
630.76232	-0.87
630.78051	-2.42
630.7987	2.78
630.81688	11.08
630.83507	16.88
630.85325	12.33
630.87142	7.08
630.8896	8.38
630.90777	1.88
630.92594	-8.37
630.94411	16.83
630.96227	27.23
630.98043	37.83
630.99859	15.83
631.01675	9.28
631.03491	3.08
631.05306	-1.52
631.07121	9.38
631.08936	10.68
631.1075	2.43
631.12564	7.48
631.14379	3.93
631.16192	12.13
631.18006	8.73
631.19819	9.33
631.21632	6.23
631.23445	-3.67
631.25258	1.63
631.2707	5.18
631.28882	7.68
631.30694	10.03
631.32505	3.33
631.34317	9.08
631.36128	5.08
631.37939	11.38
631.39749	3.38
631.4156	3.13
631.4337	-1.22
631.4518	6.73
631.46989	-4.77
631.48799	-0.47
631.50608	3.73
631.52417	-1.62
631.54225	2.93
631.56034	4.18
631.57842	6.48
631.5965	0.18
631.61457	-13.07
631.63265	-4.82
631.65072	5.38
631.66879	-1.72
631.68685	12.63
631.70492	23.78
631.72298	16.98
631.74104	2.58
631.7591	2.43
631.77715	2.88
631.7952	12.53
631.81325	17.23
631.8313	3.18
631.84934	12.93
631.86739	15.08
631.88543	4.43
631.90346	8.88
631.9215	3.88
631.93953	10.78
631.95756	3.08
631.97559	6.38
631.99361	0.33
632.01163	-3.47
632.02965	7.63
632.04767	18.33
632.06569	13.83
632.0837	6.63
632.10171	0.03
632.11972	-4.82
632.13772	1.28
632.15573	16.28
632.17373	1.63
632.19172	-4.27
632.20972	0.33
632.22771	-2.17
632.2457	1.23
632.26369	6.03
632.28168	13.48
632.29966	2.93
632.31764	3.78
632.33562	0.58
632.35359	8.58
632.37157	7.93
632.38954	3.28
632.40751	-1.52
632.42547	-5.87
632.44344	14.98
632.4614	5.13
